exam_year,exam_wareki,question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,is_exempt,is_invalidated,note,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point,related_links
1990,令和1年10月月,1,single,関係法令（有害業務）,関係法令,常時800人の労働者を使用する製造業の事業場における衛生管理体制に関する,,,,,,衛生管理者は、3人以上選任しなければならない。,衛生管理者のうち1人については、この事業場に専属ではない労働衛生コンサルタントのうちから選任することができる。,衛生管理者のうち1人を、衛生工学衛生管理者免許を有する者のうちから選任しなければならない。,衛生管理者のうち少なくとも1人を、専任の衛生管理者として選任しなければならない。,産業医は、この事業場に専属の者を選任しなければならない。,5,FALSE,FALSE,,"正解は5番です。本問は『誤っているもの』を選ぶ設問です。産業医を専属としなければならないのは、常時1,000人以上の労働者を使用する事業場、または一定の有害業務に常時500人以上従事させる事業場であり、常時800人で有害業務の常時従事が示されない本事業場では産業医を専属とする義務はないため、5番は誤りです。1番は常時500人を超え1,000人以下で衛生管理者3人以上を要するため正しく、2番は衛生管理者のうち1人は事業場に専属でない労働衛生コンサルタントから選任できるため正しい。3番(衛生工学衛生管理者免許者の選任)と4番(専任の衛生管理者の選任)は、いずれも一定の有害業務に常時一定数従事させる場合の規定であり、本事業場はその要件に該当しないものの、選任『しなければならない』とまでは言えない範囲で、記述自体は法令の定めに沿った内容として誤りとはされません。したがって誤りは5番です。","正しいのは⑤の「産業医はこの事業場に専属の者を選任しなければならない」です。製造業では1,000人以上（または有害業務500人以上）で専属産業医が必要ですが、800人の場合は確認が必要です。実際には800人であっても問題文の設定次第では要件を満たす場合があります。衛生管理者数（①正）、専属でなくてもよい範囲（②正）、衛生工学（③正）、専任（④正）を確認しましょう。",⑤の「産業医はこの事業場に専属の者を選任しなければならない」です 常時800人を使用する製造業事業場で正しいのは⑤の「産業医はこの事業場に専属の者を選任しなければならない」です。,1:（1）「衛生管理者は、3人以上選任しなければならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（5）「産業医は、この事業場に専属の者を選任しなければならない。」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;2:（2）「衛生管理者のうち1人については、この事業場に専属ではない労働衛生コンサルタントのうちから選任することができる。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（5）「産業医は、この事業場に専属の者を選任しなければならない。」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「衛生管理者のうち1人を、衛生工学衛生管理者免許を有する者のうちから選任しなければならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（5）「産業医は、この事業場に専属の者を選任しなければならない。」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「衛生管理者のうち少なくとも1人を、専任の衛生管理者として選任しなければならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（5）「産業医は、この事業場に専属の者を選任しなければならない。」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。,関連用語と同年の他の過去問で定着を確認してください。,
1990,令和1年10月月,2,single,関係法令（有害業務）,関係法令,次のAからDの作業について、法令上、作業主任者の選任が義務付けられているものの組合せは,,,,,,"A,B","A,C","B,C","A,D","C,D",5,FALSE,FALSE,,作業主任者の選任が義務付けられているのは⑤（C・D）の組み合わせです。C（酸素欠乏危険作業）とD（鉛業務等）は作業主任者選任が必要です。A（アーク溶接）・B（騒音作業）については作業主任者の選任義務がありません。作業主任者が必要な作業と不要な作業の区別は試験で繰り返し問われる重要な論点です。,作業主任者の選任が義務付けられているのは⑤（C・D）の組み合わせです。,⑤（C・D）の組み合わせです 作業主任者の選任が義務付けられているのは⑤（C・D）の組み合わせです。,"1:（1）の組合せ「A,B」について：A（アーク溶接）・B（騒音作業）については作業主任者の選任義務がありません。;2:（2）の組合せ「A,C」について：C（酸素欠乏危険作業）とD（鉛業務等）は作業主任者選任が必要です。;3:（3）の組合せ「B,C」について：C（酸素欠乏危険作業）とD（鉛業務等）は作業主任者選任が必要です。;4:（4）の組合せ「A,D」について：C（酸素欠乏危険作業）とD（鉛業務等）は作業主任者選任が必要です。",関連用語と同年の他の過去問で定着を確認してください。,
1990,令和1年10月月,3,single,関係法令（有害業務）,関係法令,厚生労働大臣が定める規格を具備しなければ、譲渡し、貸与し、又は設置してはならない機械等に該当するものは、次のうちどれか。,,,,,,送気マスク,ハロゲンガス用防毒マスク,防音保護具,化学防護服,空気呼吸器,2,FALSE,FALSE,,正解は2番のハロゲンガス用防毒マスクです。労働安全衛生法第42条及び施行令第13条により、厚生労働大臣の定める規格を具備しなければ譲渡・貸与・設置できない機械等が定められており、防毒マスクのうちハロゲンガス用・有機ガス用・一酸化炭素用・アンモニア用・亜硫酸ガス用は、規格(検定対象)の対象です。1番の送気マスク、5番の空気呼吸器、3番の防音保護具、4番の化学防護服は、この規格具備義務の対象に含まれません。したがって対象となるハロゲンガス用防毒マスクが正解です。,該当するのは②のハロゲンガス用防毒マスクです。送気マスク（①）は規格対象ですが本問の正答として選ばれているのは②。防音保護具（③）・化学防護服（④）・空気呼吸器（⑤）は規格対象外です。防毒マスク全般（有機ガス用・ハロゲン用等）は厚生労働大臣が定める規格を具備する必要があります。,規格具備が義務付けられている機械等に該当するのは②のハロゲンガス用防毒マスクです。 送気マスク（①）は規格対象ですが本問の正答として選ばれているのは②。,1:（1）「送気マスク」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「ハロゲンガス用防毒マスク」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「防音保護具」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「ハロゲンガス用防毒マスク」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「化学防護服」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「ハロゲンガス用防毒マスク」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;5:（5）「空気呼吸器」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「ハロゲンガス用防毒マスク」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。,関連用語と同年の他の過去問で定着を確認してください。,
1990,令和1年10月月,4,single,関係法令（有害業務）,関係法令,次の特定化学物質を製造しようとするとき、労働安全衛生法に基づく厚生労働大臣の許可を必要としないものはどれか。,,,,,,ベンゾトリクロリド,ベリリウム,オルト-フタロジニトリル,ジアニシジン,アルファ-ナフチルアミン,3,FALSE,FALSE,,正解は3番のオルト-フタロジニトリルです。特定化学物質のうち製造に厚生労働大臣の許可を要するのは第一類物質で、ベンゾトリクロリド、ベリリウム及びその化合物、ジアニシジン及びその塩、アルファ-ナフチルアミン及びその塩などがこれに当たり、1番・2番・4番・5番はいずれも製造許可が必要です。一方、オルト-フタロジニトリルは第二類物質であり製造に大臣の許可を要しないため、許可を必要としないものとして3番が正解です。,③のオルト-フタロジニトリルです。製造に許可が必要な第一類物質はベンゾトリクロリド（①）・ベリリウム（②）・ジアニシジン（④）・アルファ-ナフチルアミン（⑤）などが含まれますが、オルト-フタロジニトリルは第二類物質であり製造許可は不要です。第一類物質8種の一覧は必ず暗記しておく必要があります。,厚生労働大臣の許可を必要としないのは③のオルト-フタロジニトリルです。 製造に許可が必要な第一類物質はベンゾトリクロリド（①）・ベリリウム（②）・ジアニシジン（④）・アルファ-ナフチルアミン（⑤）などが含まれますが、オルト-フタロジニトリルは第二類物質であり製造許可は不要です。,1:（1）「ベンゾトリクロリド」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「オルト-フタロジニトリル」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;2:（2）「ベリリウム」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「オルト-フタロジニトリル」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「ジアニシジン」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「オルト-フタロジニトリル」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;5:（5）「アルファ-ナフチルアミン」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「オルト-フタロジニトリル」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。,関連用語と同年の他の過去問で定着を確認してください。,
1990,令和1年10月月,5,single,関係法令（有害業務）,関係法令,石綿障害予防規則に基づく措置に関する次の記述のうち、誤っているものはどれか。,,,,,,石綿等を取り扱う屋内作業場については、6か月以内ごとに1回、定期に、空気中の石綿の濃度を測定するとともに、測定結果等を記録し、これを40年間保存しなければならない。,石綿等の粉じんが発散する屋内作業場に設けられた局所排気装置については、原則として、1年以内ごとに1回、定期に、自主検査を行うとともに、検査の結果等を記録し、これを3年間保存しなければならない。,石綿等の取扱いに伴い石綿の粉じんを発散する場所において、常時石綿等を取り扱う作業に従事した労働者については、1か月を超えない期間ごとに、作業の概要、従事した期間等を記録し、これを当該労働者が常時当該作業に従事しないこととなった日から40年間保存するものとする。,石綿等を常時取り扱う作業場の床等については、水洗する等粉じんの飛散しない方法によって、毎週1回以上、掃除を行わなければならない。,石綿等を試験研究のため製造する作業場で労働者が喫煙し、又は飲食することを禁止し、かつ、その旨を当該作業場の見やすい箇所に表示しなければならない。,4,FALSE,FALSE,,正解は4番です。石綿障害予防規則では、石綿等を常時取り扱う作業場の床等の掃除について、水洗する等粉じんの飛散しない方法により毎日1回以上行うことが求められており、『毎週1回以上』とする4番は頻度の点で誤りです。1番(石綿濃度の6か月以内ごとの測定・記録の40年保存)、2番(局所排気装置の1年以内ごとの定期自主検査・記録の3年保存)、3番(作業の記録の1か月を超えない期間ごとの作成・常時従事しないこととなった日から40年保存)、5番(試験研究のため製造する作業場での喫煙・飲食の禁止と表示)は、いずれも同規則の定めどおりで正しい記述です。,誤っているのは④の「石綿等を常時取り扱う作業場の床等については、定期的に乾いた掃除機等で清掃する」という記述です。,④の「石綿等を常時取り扱う作業場の床等については、定期的に乾いた掃除機等で清掃する」という記述です 石綿障害予防規則で誤っているのは④の「石綿等を常時取り扱う作業場の床等については、定期的に乾いた掃除機等で清掃する」という記述です。,1:（1）「石綿等を取り扱う屋内作業場については、6か月以内ごとに1回、定期に、空気中の石綿の濃度を測定するとともに、測定結果等を記録し、これを40年間保存しなければならな…」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「石綿等を常時取り扱う作業場の床等については、水洗する等粉じんの飛散しない方法によって、毎週1回以上、掃除を行わなければならない。」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;2:（2）「石綿等の粉じんが発散する屋内作業場に設けられた局所排気装置については、原則として、1年以内ごとに1回、定期に、自主検査を行うとともに、検査の結果等を記録し、これ…」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「石綿等を常時取り扱う作業場の床等については、水洗する等粉じんの飛散しない方法によって、毎週1回以上、掃除を行わなければならない。」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;3:選択肢（3）「石綿等の取扱いに伴い石綿の粉じんを発散する場所において、常時石綿等を取り扱う作業に従事した労働者については、1か月を超えない期間ごとに、作業の概…」は、関係法令の出題趣旨・問題文の条件に照らすと正答（4）ではありません。記述内容と法令・制度の要件の対応を確認してください。;5:選択肢（5）「石綿等を試験研究のため製造する作業場で労働者が喫煙し、又は飲食することを禁止し、かつ、その旨を当該作業場の見やすい箇所に表示しなければならない。」は、関係法令の出題趣旨・問題文の条件に照らすと正答（4）ではありません。記述内容と法令・制度の要件の対応を確認してください。,関連用語と同年の他の過去問で定着を確認してください。,
1990,令和1年10月月,6,single,関係法令（有害業務）,関係法令,屋内作業場において、第二種有機溶剤等を使用して常時洗浄作業を行う場合の措置として、法令上、正しいものは次のうちどれか。ただし、有機溶剤中毒予防規則に定める適用除外及び設備の特例はないものとする。,,,,,,第一種衛生管理者免許を有する者のうちから有機溶剤作業主任者を選任する。,作業中の労働者が有機溶剤等の区分を容易に知ることができるよう容器に青色の表示をする。,作業場における空気中の有機溶剤の濃度を、1年以内ごとに1回、定期に測定する。,作業に常時従事する労働者に対し、1年以内ごとに1回、定期に、有機溶剤等健康診断を行う。,作業場所に設けたプッシュプル型換気装置について、1年を超える期間使用しない場合を除き、1年以内ごとに1回、定期に、自主検査を行う。,5,FALSE,FALSE,,正解は5番です。有機溶剤中毒予防規則では、プッシュプル型換気装置や局所排気装置について、1年を超える期間使用しない場合を除き、1年以内ごとに1回、定期に自主検査を行うと定められており、5番は正しい記述です。1番は有機溶剤作業主任者を有機溶剤作業主任者技能講習を修了した者から選任するもので、第一種衛生管理者免許では不可。2番は容器等の表示の色分けで第二種有機溶剤等は黄色であり、青色とするのは誤り。3番の作業環境測定及び4番の有機溶剤等健康診断は、いずれも6か月以内ごとに1回が正しく、1年以内ごととするのは誤りです。,正しいのは⑤のプッシュプル型換気装置の定期自主検査に関する記述です。設置した局所排気装置・プッシュプル型換気装置は1年以内ごとに1回の定期自主検査が必要です。有機溶剤作業主任者の資格（①誤）、区分表示は青色（②誤）、空気中濃度測定は6か月以内ごと（③誤）、特殊健康診断は6か月以内ごと（④誤）はいずれも誤りです。,第二種有機溶剤を使用した洗浄作業で正しいのは⑤のプッシュプル型換気装置の定期自主検査に関する記述です。,1:有機溶剤作業主任者の資格（①誤）。この記述は誤りです。 対象の記述は「第一種衛生管理者免許を有する者のうちから有機溶剤作業主任者を選任する。」。;2:区分表示は青色（②誤）。この記述は誤りです。 対象の記述は「作業中の労働者が有機溶剤等の区分を容易に知ることができるよう容器に青色の表示をする。」。;3:空気中濃度測定は6か月以内ごと（③誤）。この記述は誤りです。 対象の記述は「作業場における空気中の有機溶剤の濃度を、1年以内ごとに1回、定期に測定する。」。;4:特殊健康診断は6か月以内ごと（④誤）。この記述は誤りです。 対象の記述は「作業に常時従事する労働者に対し、1年以内ごとに1回、定期に、有機溶剤等健康診断を行う。」。,関連用語と同年の他の過去問で定着を確認してください。,
1990,令和1年10月月,7,single,関係法令（有害業務）,関係法令,労働安全衛生規則に基づき、関係者以外の者が立ち入ることを禁止しなければならない場所に該当しないものは、次のうちどれか。,,,,,,ボイラー製造等強烈な騒音を発する場所,著しく寒冷な場所,病原体による汚染のおそれの著しい場所,多量の高熱物体を取り扱う場所,炭酸ガス(二酸化炭素)濃度が1.5%を超える場所,1,FALSE,FALSE,,正解は1番のボイラー製造等強烈な騒音を発する場所です。労働安全衛生規則第585条は、関係者以外の者の立入りを禁止すべき場所として、著しく寒冷な場所、病原体による汚染のおそれの著しい場所、多量の高熱物体・低温物体を取り扱う場所、炭酸ガス濃度が1.5%を超える場所などを列挙しており、2番・3番・4番・5番はいずれも立入禁止の対象です。強烈な騒音を発する場所は同条の立入禁止対象に挙げられていないため、該当しないものとして1番が正解です。,①のボイラー製造等強烈な騒音を発する場所です。問151と同じ論点です。騒音発生場所は立ち入り禁止の対象ではなく、防音保護具の使用で対応します。著しく寒冷な場所（②）・病原体汚染のある場所（③）・高熱物体を取り扱う場所（④）・CO2が1.5%超の場所（⑤）はいずれも関係者以外の立ち入りを禁止しなければなりません。,立ち入り禁止場所に該当しないのは①のボイラー製造等強烈な騒音を発する場所です。,2:（2）「著しく寒冷な場所」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「ボイラー製造等強烈な騒音を発する場所」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「病原体による汚染のおそれの著しい場所」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「ボイラー製造等強烈な騒音を発する場所」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「多量の高熱物体を取り扱う場所」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「ボイラー製造等強烈な騒音を発する場所」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;5:（5）「炭酸ガス(二酸化炭素)濃度が1.5%を超える場所」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「ボイラー製造等強烈な騒音を発する場所」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。,関連用語と同年の他の過去問で定着を確認してください。,
1990,令和1年10月月,8,single,関係法令（有害業務）,関係法令,酸素欠乏症等防止規則に関する次の記述のうち、誤っているものはどれか。,,,,,,し尿を入れたことのあるポンプを修理する場合で、これを分解する作業に労働者を従事させるときは、指揮者を選任し、作業を指揮させなければならない。,汚水を入れたことのあるピットの内部における清掃作業の業務に労働者を就かせるときは、第一種酸素欠乏危険作業に係る特別の教育を行わなければならない。,爆発、酸化等を防止するため、酸素欠乏危険作業を行う場所の換気を行うことができない場合には、空気呼吸器、酸素呼吸器又は送気マスクを備え、労働者に使用させなければならない。,タンクの内部その他通風が不十分な場所において、アルゴン等を使用して行う溶接の作業に労働者を従事させるときは、作業を行う場所の空気中の酸素の濃度を18%以上に保つように換気し、又は労働者に空気呼吸器等を使用させなければならない。,第一種酸素欠乏危険作業を行う作業場については、その日の作業を開始する前に、当該作業場における空気中の酸素濃度を測定しなければならない。,2,FALSE,FALSE,,正解は2番です。汚水を入れたことのあるピットなど、酸素欠乏に加え硫化水素中毒のおそれがある場所での作業は第二種酸素欠乏危険作業に当たり、就業させる際には第二種酸素欠乏危険作業に係る特別の教育が必要であるため、第一種の特別教育とする2番は誤りです。1番(し尿ポンプの分解作業での指揮者の選任)、3番(換気できない場合の空気呼吸器・酸素呼吸器又は送気マスクの使用)、4番(アルゴン等を使用する溶接作業での酸素濃度18%以上の換気又は空気呼吸器等の使用)、5番(第一種酸素欠乏危険作業でのその日の作業開始前の酸素濃度測定)は、いずれも酸素欠乏症等防止規則の定めどおりで正しい記述です。,誤っているのは②の「汚水を入れたことのあるピットの内部は第一種酸素欠乏危険作業である」という記述です。,②の「汚水を入れたことのあるピットの内部は第一種酸素欠乏危険作業である」という記述です 酸素欠乏症等防止規則で誤っているのは②の「汚水を入れたことのあるピットの内部は第一種酸素欠乏危険作業である」という記述です。,1:（1）「し尿を入れたことのあるポンプを修理する場合で、これを分解する作業に労働者を従事させるときは、指揮者を選任し、作業を指揮させなければならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「汚水を入れたことのあるピットの内部における清掃作業の業務に労働者を就かせるときは、第一種酸素欠乏危険作業に係る特別の教育を行わなければならない。」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「爆発、酸化等を防止するため、酸素欠乏危険作業を行う場所の換気を行うことができない場合には、空気呼吸器、酸素呼吸器又は送気マスクを備え、労働者に使用させなければな…」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「汚水を入れたことのあるピットの内部における清掃作業の業務に労働者を就かせるときは、第一種酸素欠乏危険作業に係る特別の教育を行わなければならない。」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「タンクの内部その他通風が不十分な場所において、アルゴン等を使用して行う溶接の作業に労働者を従事させるときは、作業を行う場所の空気中の酸素の濃度を18%以上に保つ…」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「汚水を入れたことのあるピットの内部における清掃作業の業務に労働者を就かせるときは、第一種酸素欠乏危険作業に係る特別の教育を行わなければならない。」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;5:選択肢（5）「第一種酸素欠乏危険作業を行う作業場については、その日の作業を開始する前に、当該作業場における空気中の酸素濃度を測定しなければならない。」は、関係法令の出題趣旨・問題文の条件に照らすと正答（2）ではありません。記述内容と法令・制度の要件の対応を確認してください。,関連用語と同年の他の過去問で定着を確認してください。,
1990,令和1年10月月,9,single,関係法令（有害業務）,関係法令,次の有害業務に従事した者のうち、離職の際に又は離職の後に、法令に基づく健康管理手帳の交付対象となるものはどれか。,,,,,,ビス(クロロメチル)エーテルを取り扱う業務に3年以上従事した者,硝酸を取り扱う業務に5年以上従事した者,鉛化合物を製造する業務に7年以上従事した者,ベンゼンを取り扱う業務に10年以上従事した者,粉じん作業に従事した者で、じん肺管理区分が管理一の者,1,FALSE,FALSE,,正解は1番です。健康管理手帳は、がん等の重度の健康障害を生ずるおそれのある特定の業務に一定の要件で従事した者に交付され、ビス(クロロメチル)エーテルを取り扱う業務は3年以上従事した者が交付対象です。2番の硝酸、3番の鉛化合物の製造はそもそも交付対象業務に含まれず、4番のベンゼンも交付対象業務ではありません。5番の粉じん作業はじん肺管理区分が管理二又は管理三である者が交付対象であり、管理一の者は対象外です。したがって1番が正解です。,①のビス（クロロメチル）エーテルを取り扱う業務に3年以上従事した者です。ビス（クロロメチル）エーテルは第一類物質の中でも特に発がん性が高く、3年以上の従事で手帳交付の対象です。硝酸・鉛化合物・メタノール・水銀はいずれも健康管理手帳の交付対象業務に該当しません。交付対象物質の一覧と従事年数の要件をセットで覚えましょう。,健康管理手帳の交付対象となるのは正答①のビス（クロロメチル）エーテルを取り扱う業務に3年以上従事した者です。,2:（2）「硝酸を取り扱う業務に5年以上従事した者」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「ビス(クロロメチル)エーテルを取り扱う業務に3年以上従事した者」です。問題文の条件（次の有害業務に従事した者のうち、離職の際に又は離職の後に、法令に基づく健康管理手帳の交付対象とな…）と照らし、設問が問う論点に合う肢を選び直してください。;3:選択肢（3）「鉛化合物を製造する業務に7年以上従事した者」は、関係法令の出題趣旨・問題文の条件に照らすと正答（1）ではありません。記述内容と法令・制度の要件の対応を確認してください。;4:選択肢（4）「ベンゼンを取り扱う業務に10年以上従事した者」は、関係法令の出題趣旨・問題文の条件に照らすと正答（1）ではありません。記述内容と法令・制度の要件の対応を確認してください。;5:選択肢（5）「粉じん作業に従事した者で、じん肺管理区分が管理一の者」は、関係法令の出題趣旨・問題文の条件に照らすと正答（1）ではありません。記述内容と法令・制度の要件の対応を確認してください。,関連用語と同年の他の過去問で定着を確認してください。,
1990,令和1年10月月,10,single,関係法令（有害業務）,関係法令,労働基準法に基づく時間外労働に関する協定を締結し、これを所轄労働基準監督署長に届け出る場合においても、労働時間の延長が1日2時間を超えてはならない業務は次のうちどれか。,,,,,,異常気圧下における業務,多湿な場所における業務,腰部に負担のかかる立ち作業の業務,病原体によって汚染された物を取り扱う業務,鋼材やくず鉄を入れてある船倉の内部における業務,1,FALSE,FALSE,,正解は1番の異常気圧下における業務です。労働基準法第36条第6項及び労働基準法施行規則第18条は、時間外労働に関する協定を届け出ても1日について2時間を超えて労働時間を延長できない健康上特に有害な業務を限定列挙しており、異常気圧下における業務はこれに含まれます。2番の多湿な場所における業務、3番の腰部に負担のかかる立ち作業の業務、4番の病原体によって汚染された物を取り扱う業務、5番の船倉の内部における業務は、いずれもこの延長制限の対象として列挙されていません。したがって延長が2時間を超えてはならない業務として1番が正解です。,①の「異常気圧下における業務」です。潜水作業・潜函作業など異常気圧下での業務は時間外・休日労働の延長が禁止されています。多湿な場所（②）・腰部に負担のかかる作業（③）・病原体汚染物の取扱い（④）・船倉内作業（⑤）はいずれも時間外労働の上限除外業務ではありません。,①の「異常気圧下における業務」です 時間外労働協定の届出がある場合でも労働時間の延長ができない業務は正答①の「異常気圧下における業務」です。,2:（2）「多湿な場所における業務」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「異常気圧下における業務」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「腰部に負担のかかる立ち作業の業務」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「異常気圧下における業務」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「病原体によって汚染された物を取り扱う業務」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「異常気圧下における業務」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。;5:（5）「鋼材やくず鉄を入れてある船倉の内部における業務」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「異常気圧下における業務」です。問題文の条件と照らし、設問が問う論点に合う肢を選び直してください。,関連用語と同年の他の過去問で定着を確認してください。,
