url,term,weak_reason,has_gsc_impression,current_definition
/terms/halogenated-hydrocarbons.html,ハロゲン化炭化水素（トリクロロエチレン等）,を手がかりに,Y,「ハロゲン化炭化水素（トリクロロエチレン等）」とは、代替および規制動向とリスクを手がかりに。
/terms/oxidizable-substances-spontaneous-combustion.html,易酸化物質・自然発火（概念）,を手がかりに,Y,易酸化物質・自然発火（概は「易酸化物質、自然発火（概念）」とは、危険物取扱いに関する基本的な論点を手がかりに。
/terms/tokushu-kenshin-kokiatsu.html,特殊健康診断,定義が短い/中身が薄い,Y,特殊健康診断は（鉛）」とは。
/terms/metal-fume-concept.html,金属ヒューム（概念）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,Y,「金属ヒューム（概念）」とは、溶接および溶断のばく露を手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/gc-lc-concept.html,GC/LC（概念）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「GC/LC（概念）」とは、有機溶剤、成分分析を手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/icp-ms-aas.html,ICP-MS/AAS等（概念）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「ICP-MS/AAS等（概念）」とは、金属分析の位置づけを手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/n-hexane-peripheral-neuropathy.html,n-ヘキサン（末梢神経障害）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「n-ヘキサン（末梢神経障害）」とは、溶媒障害の典型例を手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/ergonomics-juryobutsu-vdt.html,エルゴノミクス（重量物取扱い・VDT）,を手がかりに,,エルゴノミクス（重量物取は「エルゴノミクス（重量物取扱い、VDT）」とは、腰痛予防指針およびリスク因子を手がかりに。
/terms/mold-fungi-indoor-environment.html,カビ・真菌（屋内環境）,を手がかりに,,カビ・真菌（屋内環境）は「カビ、真菌（屋内環境）」とは、建築衛生および空調の接続を手がかりに。
/terms/gas-chromatograph-atomic-absorption.html,ガスクロマトグラフ・原子吸光の位置づけ（概念）,を手がかりに,,ガスクロマトグラフ・原子は「ガスクロマトグラフ、原子吸光の位置づけ（概念）」とは、分析法選択の判断材料を手がかりに。
/terms/cyanide-concept.html,シアン化物（概念）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「シアン化物（概念）」とは、窒息系の中毒機序を手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/nano-particles-concept.html,ナノ粒子（概念）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「ナノ粒子（概念）」とは、ばく露評価の難しさを手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/nickel-chromium-cadmium-toxicity.html,ニッケル・クロム・カドミウム（毒性概要）,を手がかりに,,ニッケル・クロム・カドミは「ニッケル、クロム、カドミウム（毒性概要）」とは、有害金属の頻出論点を手がかりに。
/terms/shipbuilding-welding-fume-exposure.html,フジツボ削り・造船・溶接ヒューム（ばく露場面）,を手がかりに,,【1】定義：フジツボ削り・造船・溶接は「フジツボ削り、造船、溶接ヒューム（ばく露場面）」とは、マンガン、金属ヒュームを手がかりに…。根拠は関連法令。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。
/terms/risk-assessment.html,リスクアセスメント,を手がかりに,,リスクアセスメントは（化学、作業環境）」とは、ばく露評価と低減措置の優先順位（発生源～保護具）を手がかりに、。
/terms/risk-matrix-method.html,リスクマトリクス法,定義が短い/中身が薄い,,リスクマトリクス法は。
/terms/man-made-mineral-fiber-rockwool.html,人造鉱物繊維・ロックウール（概念）,を手がかりに,,人造鉱物繊維・ロックウーは「人造鉱物繊維、ロックウール（概念）」とは、生物耐久性と分類の論点を手がかりに。
/terms/man-made-mineral-fiber.html,人造鉱物繊維（概念）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「人造鉱物繊維（概念）」とは、石綿代替材の扱いを手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
